172.32.4.74 - - [05/May/2025:12:08:43 +0530] "GET /wp3/wp-content/plugins/formcraft3/src/js/Pagination.js HTTP/1.1" 200 696 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
172.32.4.74 - - [05/May/2025:12:30:32 +0530] "GET / HTTP/1.1" 200 157 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
172.32.4.74 - - [05/May/2025:12:30:37 +0530] "GET /favicon.ico HTTP/1.1" 404 - "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
172.32.4.74 - - [05/May/2025:12:35:23 +0530] "GET /web4/uploads/images/21082019_12.jpg HTTP/1.1" 404 - "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
172.32.4.74 - - [05/May/2025:13:20:57 +0530] "GET /blog/my-back2/tsconfig.json HTTP/1.1" 404 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
172.32.4.74 - - [05/May/2025:13:20:58 +0530] "GET /favicon.ico HTTP/1.1" 404 - "http://ducc.du.ac.in/blog/my-back2/tsconfig.json" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
172.32.4.74 - - [05/May/2025:13:23:11 +0530] "GET /robots.txt HTTP/1.1" 404 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; +https://openai.com/searchbot"
172.32.4.74 - - [05/May/2025:13:23:20 +0530] "GET /wp3/?page_id=1031 HTTP/1.1" 200 1519442 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
172.32.4.74 - - [05/May/2025:13:24:13 +0530] "GET /wp-login.php HTTP/1.1" 404 16 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
172.32.4.74 - - [05/May/2025:13:24:16 +0530] "POST /wp3/wp-cron.php?doing_wp_cron=1746431656.2590761184692382812500 HTTP/1.1" 200 - "http://ducc.du.ac.in/wp3/wp-cron.php?doing_wp_cron=1746431656.2590761184692382812500" "WordPress/6.1.7; https://ducc.du.ac.in/wp3"
172.32.4.74 - - [05/May/2025:13:24:14 +0530] "GET /wp3/wp-login.php HTTP/1.1" 302 - "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
172.32.4.74 - - [05/May/2025:13:29:14 +0530] "GET /.well-known/acme-challenge/HVM_KXPVU-L92R0GCD5QWF701B3PIOWF HTTP/1.1" 200 64 "-" "Cpanel-HTTP-Client/1.0"
172.32.4.74 - - [05/May/2025:13:29:14 +0530] "GET /.well-known/acme-challenge/1HCQSGCBZZN2WNN8CDKXK8CIV_YBSYLS HTTP/1.1" 200 64 "-" "Cpanel-HTTP-Client/1.0"
172.32.4.74 - - [05/May/2025:13:43:35 +0530] "HEAD /robots.txt HTTP/1.1" 404 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.2884.181 Safari/537.36"
